path_a,path_b,cos_sim,split_a,label_a,split_b,label_b
/content/final/train/avatar/018825e0b85caac5.jpg,/content/final/test/avatar/c36f73d89013509a.jpg,0.9923903942108154,train,avatar,test,avatar
/content/final/train/avatar/f1a577d9f2794e6a.jpg,/content/final/val/avatar/b26d2c197a53abd2.jpg,0.9911985993385315,train,avatar,val,avatar
/content/final/train/avatar/dbfe2dbc1bf52193.jpg,/content/final/val/avatar/402e6c9853e1a73a.jpg,0.9902212619781494,train,avatar,val,avatar
/content/final/train/avatar/5c64acb6ec92f244.jpg,/content/final/test/avatar/307ff306d49603c8.jpg,0.9891118407249451,train,avatar,test,avatar
/content/final/train/avatar/5c64acb6ec92f244.jpg,/content/final/test/avatar/cc7b56eb2f5874c1.jpg,0.9889757037162781,train,avatar,test,avatar
/content/final/train/avatar/c52ff8adf71843f5.jpg,/content/final/test/avatar/307ff306d49603c8.jpg,0.9885330200195312,train,avatar,test,avatar
/content/final/train/avatar/d784771f091d0f60.jpg,/content/final/test/avatar/673ba14a2353f589.jpg,0.9881991147994995,train,avatar,test,avatar
/content/final/train/avatar/9a17e3d2f015c3d1.jpg,/content/final/val/avatar/0b426356b84f766e.jpg,0.9869779348373413,train,avatar,val,avatar
/content/final/train/avatar/7fda4c9284e4934d.jpg,/content/final/test/avatar/1b4c1e55bd90b2c1.jpg,0.9869358539581299,train,avatar,test,avatar
/content/final/train/avatar/46fa8efcddd090cf.jpg,/content/final/val/avatar/80d0bf797d1bc547.jpg,0.9866465330123901,train,avatar,val,avatar
/content/final/val/avatar/f49e728893022c2b.jpg,/content/final/test/avatar/b3b299da7558c519.jpg,0.9866135120391846,val,avatar,test,avatar
/content/final/train/avatar/4cc7ecaa2f1c020b.jpg,/content/final/val/avatar/43f46fc7d71481d3.jpg,0.9866131544113159,train,avatar,val,avatar
/content/final/train/avatar/7c8da4049340c7b0.jpg,/content/final/test/avatar/2abaa79c3eaf3c59.jpg,0.9862521290779114,train,avatar,test,avatar
/content/final/train/avatar/42c56b057f7be3b2.jpg,/content/final/test/avatar/18b5d40be2ed7e02.jpg,0.9862222671508789,train,avatar,test,avatar
/content/final/train/avatar/7916a8fee7bb1551.jpg,/content/final/val/avatar/2795fde4695e7312.jpg,0.9858705401420593,train,avatar,val,avatar
/content/final/train/avatar/13fe0768f4dcdebc.jpg,/content/final/test/avatar/d88d17e3ecd17271.jpg,0.9858503341674805,train,avatar,test,avatar
/content/final/train/avatar/583458fc73fe0937.jpg,/content/final/val/avatar/f45b2a1252dd01fd.jpg,0.9855304956436157,train,avatar,val,avatar
/content/final/train/avatar/04ba07558146ba06.jpg,/content/final/val/avatar/de681dc536fd1e65.jpg,0.9853278398513794,train,avatar,val,avatar
/content/final/train/avatar/92496af33a96e787.jpg,/content/final/val/avatar/5520763cf8b25ac7.jpg,0.9852656722068787,train,avatar,val,avatar
/content/final/train/avatar/91c0dea7ae2771d8.jpg,/content/final/val/avatar/41f4f5c2c9fd4c67.jpg,0.9851495623588562,train,avatar,val,avatar
/content/final/val/avatar/8063d9f6f65a506b.jpg,/content/final/test/avatar/4a397333aedc70dd.jpg,0.9850574731826782,val,avatar,test,avatar
